URL,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Kris P.,"Manhattan, New York, NY",215,211,433,Elite ’17,6/6/17,"Update to my last review. I recently went here June 2017 and Guess what?!?!? UPDATES have been made. So that alone screams update your review. The first thing that I noticed is that they now have hot sauce- Louisana hot sauce!!! Woohhooo! Also new chairs, and they are comfy. I also noticed that the bring out a condiment tiered tree style thing that consisted of chives, cheese, and butter when you order a baked potato.
 Service was great and the fried chicken was AWESOME especially with the hot sauce on it.
I'll be back and will check for any other updated changes!","alt=""4.0 star rating""",4,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Rex C.,"Houston, TX",68,407,791,Elite ’17,1/6/17,"Wow yelper Garett B says this place is better than willie maes scotch house in New Orleans. First off garret you are wrong! Second the fried chicken here is flavorless! My god if you have been to willie maes in New Orleans and have been to bbq inn please inbox me and tell me which one was better 
16 bucks for some very flavorless fried chicken. I mean it has no flavor. I guess the people that rant and rave about this place like over price bland chicken. This is truly one of those places that are hyped up and it does not deliver. 
I wish my old B4ueat review on this place was up. Too bad the site closed. I had some really good reviews on there. 
Seriously though to the people that love this place please message me and tell me what I am missing. The food is so bland. No flavor at all. No lie Popeyes chicken is a lot better. I guess if you like overpriced bland chicken give this place a try. 
I will probably go back for their chicken fried steak. I really hate giving 1 star reviews but this chicken is not great and over priced.
I went back to try the chicken fried steak with my new yelp friend Eddie S. He does epic reviews on here. and I have to say it was bland lol but very fresh! I dumped some cheese on it which gave it a lot of flavor. 
Service is great. People are very friendly. The owner is there watching over things. Had to give it a few more stars Bc the service is great. Really nice people.
Also side the the half portion of chicken fried steak is tiny! Tiny!","alt=""3.0 star rating""",3,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Dale D.,"Houston, TX",13,130,209,Elite ’17,5/22/17,"This place is certainly an experience. It is like stepping back in time, almost like a themed dinner. The waitresses wear these little Mary Poppin's uniforms and the place looks like it hasn't receive any type of renovations for over 30 years. The majority of clientele also seem to be the original authentic customers of the yester years. Lets call it ""Classic or Retro"". 
As far as the food, it is OK food but it's not anything extraordinary. It is certainly Majorly over priced. The menu is very limited with not many options. The ribs are tasty (but not any better than any other BBQ chain & $12 for 6 pieces of rib, no sides, and not baby-back) & the fried chicken has a nice crispy crunchy skin, but it is bland ($14 for a 3 piece w/ fries + salad) . There is no seasoning on anything. I had the fried fish once and it had that gray membrane stuff in it that made it taste really ""wild/gamey"". There are not many choices for sides either. You are limited to Baked Beans, Potato Salad, French Fries, Baked Potato) The $14 chicken fried steak was pretty decent, but again served with Fries.. (Never heard of Chicken Fried Steak not served with Mashed potatoes). 
This is just a place a co-worker of mine insists we stop in at when we go to Fling Saucer to pickup pies for work. I totally say pop in once just to say you've been there, but I doubt anything will have you coming back for more.","alt=""2.0 star rating""",2,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Cameron K.,"Houston, TX",109,362,243,Elite ’17,5/7/17,"Been coming here for years. The fried shrimp is wonderful as is the fried chicken. 
The have the best fried shrimp you will find the Heights / N Houston area. 
Great service, no too expensive and home-made desserts on top of that! 
2 thumbs up!","alt=""5.0 star rating""",5,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Brent M.,"Houston, TX",6,80,303,,4/30/17,"Holy cow!!!! So after a round of golf we are starving, John says let's do BBQ Inn, I am driving and ask what and where is this BBQ Inn place. He then explains that it's more or less a heavenly location where the universe just simply meets up and everything comes together. I am thinking it's just another BBQ place in Houston serving up dry meat cooked the night before.
I have never been more wrong in my life and that includes the famed Vegas trip of 2001.
I call my awesome veggie wife to ask if she wants to join us, I get the monotone ""no"". The same ""no"" I got when I thought it was a good idea to purchase a Porsche.
So she is out.
We walk in and are greeted by a super friendly staff. I mean it was like walking into the family drug store on Main Street in San Marcos back in the 80's.
We are seated and I look at the menu and all the food walking by on its way to customers with huge smiles on there faces.
John tells me the shrimp are incredible. So we go nuts, order shrimp, clams, ribs and just a ton of stuff. The waitress is perfect, offering to customize the order and offering all sorts of help. You just don't find this sort of thing inside the beltway.
Next thing you know she is off with our crazy order and we are talking to the customers eating and having a great time, so yes it's like like a small town experience. Again you forget your in Houston.
The food arrives and it looks pretty good. We dig in and everyone is looking at me waiting for my reaction. It's priceless, I break out into a huge grin and this weird noise comes out of the left side of my mouth.
This stuff is good. The meat is tender and super tasty. The shrimp and clams are like I am back in Seattle at Pikes Place Market. Then I try the tarter sauce, holy crap, I mean HOLY CRAP!!!! Not sure if it has crack in it as it's so addicting. Again I have not had this since Seattle.
So yes I am in heaven and wondering why I have not been here yet. But of course the answer is there is no veggie friendly items on the menu. Zero.
But I don't care as again this is some of the best BBQ I have had. The staff and customers are great.
So swing by, yes I guess I am the only one that has not heard of it or been there but now that I know about BBQ Inn you can count on me in.
Love it","alt=""4.0 star rating""",4,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Frankie H.,"Houston, TX",6,94,,Elite ’17,8/5/17,"So I've driven by this place for many years and wanted to try it but really didn't seem to be very inviting. I recently had someone tell me they have really good food so my coworkers and I decided to try it. I ordered child's chicken plate (2 piece chicken and fries $10) and BBQ rib appetizer (4 short ribs $8). First the food is over priced. Second the BBQ is tasteless and is lacking a BBQ smell and so is the BBQ sauce. The staff is dressed in an old style waiter uniform and the decor is outdated. Now the place is clean the waiters are attentive and the chicken is great. Another member in our party had the brisket and said it too was tasteless she didn't eat it all, the beans were sweet and the fish was nothing to brag about. We noticed most of the patrons had chicken so maybe the name should be Chicken Inn because out of everything we ordered the fried chicken was the best.","alt=""2.0 star rating""",2,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Eddie S.,"Houston, TX",248,843,8839,Elite ’17,1/12/17,"First thing is first, don't be a knucklehead like me and come here on a Monday when it is closed. I went against my Yelp format and did not bother looking at the opening and closing time, I assumed so you know what that spells out.
Ok folks, I've been challenged by a new Yelp friend, Rex to try out this place and to see if I understand what all the hype is about with the chicken. Well Mr. Rex, this buds for you.
This place gets filled up during lunch so you might want to get here before the lunch crowd as far as parking and the tables.
When you first walk in you think about Mel's Diner and begin to look for Alice. If you take a few steps more, you will think you've been transported into a Luby's Cafeteria what without the cafeteria type food bar. 
This is a neighborhood restaurant that has most likely been here for awhile like when your grandparents were in diapers. I would say your average clientele here would be in their forties and fifties so most likely you will not have to worry about gang fights breaking out here or pandemonium except for Mertil and Gretched bickering about how Mary Lou should be planting her garden. 
Service, the owner or whoever is in charge of that department really picked them out well, these people or should I say ladies are very seasoned and well-versed on how to take care of customers. I swear that some of them must have been really good food hops when Sonic was bustling a long long time ago. Professional but not obtrusive but prompt and witty, you really do not find this type of service around very often.
Now, the thing that Rex sent me to try. When you look at the menu prices for the Fried Chicken plates, you will notice that they are in the neighborhood of $15, what the hell? This better be good you tell yourself so when you order this also be advised that they make this fresh, expect to wait around 20 to 25 minutes. You are not here for fast food so calm yourself and enjoy the salad and cracker basket that is presented to you while you wait. 
I must have caught them on an off-day with their homemade dressing because it was kind of salty but I can tell you one thing, they give you plenty of it. A lot of people do not like their salad drowned in ranch dressing, I however, like mine wet so it sits well with me. Do not expect an extravagant chef salad but you will get a nice 8-inch plate of iceberg lettuce cut up with a couple of tomatoes to start off with.
About 20 minutes later my chicken finally arrives, it is piping hot, so do not dig into your chicken until it's cooled off a couple of minutes or you might be sorry. 
They got the batter part right, it's like a really high-pitched crackling the first bites and that's pretty much is the only enjoyment there for me. When did people say that it is bland, they were not lying. This is nothing that a little salt and pepper can take care of but that's besides the point because you are waiting for something savory, but at least you have something fresh and crispy. Remember that pretty salty ranch dressing I was mentioning earlier? Well I kind of dipped the chicken pieces and in a little bit of that and it balanced it out well. The French fries that came with the chicken, I would not really recommend because it seems to have a burnt, old oil taste like the oil that it was Friday and was passed it's changing schedule.
That being tried by me, but I pay $15 for another round of chicken plate here? Definitely not but the waitress was nice enough to allow me to order the 2 piece off of the kid's menu, now that's service. They did not lose $5 off of an adult chicken order-by letting me order the $10 kid's chicken plate, but they won somebody that will come back and try the chicken-fried steak and probably bring company as well, so do you see how that works? Take care of your customers and your customers will always come back and take care of you. That is the secret of why this place is always busy.
Service, relaxed ambiance and the freshness of the food is what gives this place a good boost. My recommendation to them is to marinate the chicken in something at least the day before. This advice is coming from somebody that used to season the chicken at Popeye's as his first job and you see how that works right?
There are a lot of good comfort food items on the menu so do not let the chicken review deter you. The menu is kind of pricey but it does not affect the clientele so they are doing something right since 1946.
There you go Mr. Rex, the first Yelp friend I have ever dedicated a review to.","alt=""4.0 star rating""",4,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Laura B.,"Pearland, TX",58,14,,,10/21/17,"It's hard to find really good friend chicken at restaurants anymore. Barbecue Inn's friend chicken was great! It was crunchy, the meat was moist, and piping hot! As strange as this sounds, my parents can't stop talking about how amazing the baked potato was! It's a far drive from out Home, but is worth the drive.","alt=""5.0 star rating""",5,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Roland B.,"The Heights, Houston, TX",34,35,4,,5/22/17,"I always like the chicken fried chicken or chicken fried steak here. I've never had a complaint on their BBQ. 
The staff is always super nice and prompt. 
The salad leaves something to be desired, and I recommend getting dressing on the side. Else your lettuce will drenched.","alt=""4.0 star rating""",4,barbecue-inn-houston,barbecue-inn-houston
https://www.yelp.com/biz/barbecue-inn-houston?start=0,Jonathan H.,"Pasadena, TX",1,12,11,,6/17/17,"First time ive been here in 15 years, and nothing has changed. Go here for the Fried Chicken or Chicken Fried Steak and you will not leave dissapointed. There is parking on the side near a wood fence if the front is full. A word of recommendation is to ask for your salad dressing on the side (unless you like Alot). Be prepared to wait if you order the fried chicken, but trust me it is well worth the wait!","alt=""5.0 star rating""",5,barbecue-inn-houston,barbecue-inn-houston
