URL,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/burger-park-houston?start=0,Jorge T.,"Houston, TX",0,8,1,,10/25/17,"Burger park has been the spot for several years I go their at least once a month , if you in the hood you must go to burger park , try it out !!!","alt=""5.0 star rating""",5,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Krizia C.,"Missouri City, TX",117,21,8,,6/13/17,Fresh homemade burgers for cheap with a slush! I have stayed near burger park all my life and you can't get any better than this. Everything is made to order. I normally order a bacon cheeseburger and trust me it is one of the best places to get a burger from.,"alt=""5.0 star rating""",5,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Daniel L.,"Houston, TX",5000,1308,2661,Elite ’17,3/24/15,"Far be it from me to tell you how to live your life (unless you claim Return of the Jedi was a better film than the Empire Strikes Back: because I will cinephile-roast you on group chat) but I would cross this off any half-respectable list of Houston's best burgers. Shilcutt likes this place so that should tell you something.
The overall user experience: I felt like I needed to tightly clutch my Hello Kitty backpack.
The inside was a filthy fucking cramped hovel. And I lived in a frat house in college girlfriend. What is this??? This is not an aesthetic you want. The floor was dirty. The window bars (classy!) were stained, greasy, and looked like they hadn't been cleaned since the Nixon administration. The counter was just as dirty. The little dividey post so two lines can form, one along the register and one behind it, was the dirtiest of everything. I had to run home to wash my hoodie and then to fill up my bathtub with rather manly lavender moisturizing hand sanitizer and splash around in it to get all of the nasty off of me. I have been less viscerally disgusted by bus station hookers.
Chris Rock used to have a bit about streets named MLK. Big Belly is a few blocks away and that street has a very strong police presence. So much so the other day I was trying to remember if I had done anything bad with an open statute of limitations. So I was a little surprised that on MLK (gun store, liquor store, gun store, liquor store) there was not a single 5-0 up and down that whole stretch of road. None. My mother's rule is that this is a bad thing, because their visibility offers some limited protection. This is why she thinks I am going to get stabbed in the Marigny for general in-the-wrong-place-at-the-wrong-time reasons (rather than specific reasons like my big mouth saying ""what're you gonna do sweetheart, stab me?"") because the one time I tried to take her to a bar in the Marigny she walked two blocks without seeing NOPD and noped out of there back to the CBD. 
There is a small lot that wraps round the front facing MLK and on around the side, which turns into a delightful muddy ditch. The parking regime appears to be 'do whatever the fuck you want, fam' because that is how everyone parked. I was not only boxed in by one, but two cars that double/triple parked me. By the time the brothers got those things out of the way, the truck that parked behind me in a spot had such a huge truck I had a few inches of clearance to back out. I felt like Austin Powers backing out that little truck between the two walls. I recommend that they start penalizing and publicly shaming these animals so they quit parking like jerks. I would never risk the Dragon's well-being to come back here.
The customer service was severely lacking - no friendliness or otherwise acknowledgement that I chose to come here rather than a competitor of theirs. But to give them credit, they do answer their phone and take your order to save time waiting here any longer than you have to (but you still need to wait in line as manners are lost on your peers and they cut in front of you without remorse, because thug lyfe obvi.)
Like Big Belly they didn't have their menu anywhere but google poz and I hate that beta social network so I helpfully added the menu here. My meal was relatively inexpensive: $6.60 for a bacon cheeseburger and the medium order of fries. 
The fries come wrapped up in a cute bow. I will give them that, it is kawaii. But the fries are terrible. Fresh out of the bag a mere thirty seconds after you get it they are already soggy. They are swamped with salt. This is too much salt to be tasty. If I wanted a salt lick I would just buy a horse and use his salt lick in the barn.
There are numerous problems with the burger. The patty is thin, so they are going to need to bring the flavor strong so the toppings and bun don't drown it out. This is the dullest, most flavorless patty in existence out of hospital cafeterias. And it was extremely well done to the point of being scorched-crispy. The only flavor in the first bite was the bitter taste of this being a failure pile of sadness. The cheese is not fully melted and because it's the Kraft singles sort, the parts that don't melt just clump up in off-putting and unattractive textures. The bacon was not only barely present, but suffered the same salt-torture the fries did. Because of how that one Femanon eats hamburgers in the top bun only--patty only--bottom bun only weird method, at least I was able to salvage the bun. This was a pathetic burger that a 5 year old child aspiring to be a chef would be ashamed of serving to a human, dog, or horse. I think they can do better, but they just don't care. The entire operation is indicative of them not caring - poor customer service, filthy building, and devil-may-care parking situation out front.
This place has so much room for improvement to give them anything other than one star would be to reward their profound, ample, and myriad failures.","alt=""1.0 star rating""",1,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Kim B.,"Houston, TX",0,7,,,6/14/16,Urban and awesome!!!!!!! They have the BEST burgers and icee flavors you've ever had! Turkey burger is my favorite and the cotton candy icee . A definite go!,"alt=""5.0 star rating""",5,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Alyssa M.,"Houston, TX",0,10,,,8/2/16,"Short & sweet, I love the burgers here! Always a go-to when I want a good bacon cheese burger! My family & friends love it there too!","alt=""4.0 star rating""",4,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Michelle G.,"Houston, TX",0,4,,,4/15/16,Burger Park is the best place ever.... I will never stop eating there.... Who ever doesn't like burger park doesn't know real burgers,"alt=""5.0 star rating""",5,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Ken H.,"Houston, TX",37,227,1143,,10/23/14,"!Delicious!, old fashioned burgers. I love 'um. When I've been here more than once and the burger is still this good I'll up my rating to five stars.
The place is a little tattered but the food makes up for it. I feel guilty only paying about $4 for a such a good bacon cheeseburger. There's no seating inside, so you take it to go, eat in the car or at one of their tables in the covered area outside. We ate at the open air tables. 
___
I've Eaten Out Every Meal for 25 years [and I love burgers]","alt=""4.0 star rating""",4,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,J K.,"Houston, TX",23,65,45,,6/27/15,"Sucks that it burned down but I hope they rebuild their burgers are great! And cheap. 
Don't forget the slushes, it's good for a summer afternoon!","alt=""3.0 star rating""",3,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Jay C.,"Houston, TX",0,12,1,,9/15/15,"I love burger park, been a fan for over 10 years. Let me clear things up... NO its not in a fancy part of town, NO you can't get eggs or guac on these burgers and that's what makes it awesome! It's just good old fashioned burgers from a hood burger joint that's made with grease and love. If you are looking for a burger artisan experience, keep it moving, but if you want a hot made to order burger that doesn't charge an arm and leg then this is the place to go. It burned down about a month ago and since it's rebuilt, tastes even better, they probably just burned the roaches and vermin out lol. 
Another review wrote it's not authentic because an Asian is making the burger. Cmon dude really? Does a paler hamburger flipper make you feel more authentically burgertastic? Get out of here.","alt=""5.0 star rating""",5,burger-park-houston,burger-park-houston
https://www.yelp.com/biz/burger-park-houston?start=0,Ronnie B.,"Fresno, TX",15,1,,,6/1/15,It is sad to say I am going to miss this place but as of today it has burnt down r.i.p burger park,"alt=""5.0 star rating""",5,burger-park-houston,burger-park-houston
