URL,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Bradley R.,"Pasadena, TX",14,157,21,Elite ’17,11/18/17,"My wife and I plus MANY people in Houston have missed you guys. So glad you are back - I actually saw a woman crying as she took pictures of your place on our 11/15/2017 return to our favorite cafeteria in Houston. Anyone that visits your business can tell it is not the usual cafeteria - your food is cooked with love and skill. The meat - roast beef, turkey, and chicken, fresh vegetables, homemade breads, and delicious desserts are head and shoulders above everybody else in the Houston area.
We enjoyed the tender and juicy turkey, dressing, gravy, cranberry sauce, mashed potatoes, green beans, corn, wheat rolls, and pecan pie on our reopening visit. took more than half of it home and enjoyed it over the next 3 days. Thank you to the Cleburne family of owners and workers! You have definitely been missed and we are all very happy you are back!","alt=""4.0 star rating""",4,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Rick F.,"New Orleans, LA",59,264,84,Elite ’17,11/23/17,"Had lunch at Cleburne Cafeteria yesterday.
The completely rebuilt and brand new building is very nice, similar floor plan to the old building which had been completely demolished, to the bare slab.
The citizen turnout for the first week of re-opening was truly massive. It took me two hours to get into the parking lot, then a half-hour wait in line.
Perhaps the re-opening overwhelmed the staff. Neither the food nor the service was up to their usual excellent standards.
This place has a long, long history of excellence and consistency.
For now, I'm going to wait a month or so before going back. If you go now, please avoid standard mealtimes, for a while.
This wonderful place certainly deserves ""another chance"".
Rick","alt=""3.0 star rating""",3,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Tommy T.,"Boston, MA",1,116,,,11/23/17,"Just finished eating here left after a botched Thxgiving coordination by a family member.
1) 3 hour wait outside.
2) My money and taste buds would have gotten 100x more value and satisfaction from a $2 microwave dinner.
3) Thanksgiving aside, this is the worst food I'd ever eaten. It was bland, tasted mass-manufactured, and flat out cheap.
4) My sisters to-go bag smells like a rancid fart. Im not even exaggerating.
5) As far as my leftovers, I rejected them. Let that sink in.
Negative 5 stars.
PS - how does a place burn down for the '2nd time', yet all the original artwork, portraits, and family pics are prominently displayed? Those 'made it' eh?","alt=""1.0 star rating""",1,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Pepper G.,"Houston, TX",0,16,24,,11/21/17,"With Thanksgiving coming up, I wanted to try out their Turkey and Dressing dish to see if it's a choice for Thanksgiving order.
The place was packed at 8:15pm on a Monday night. The service was prompt and friendly and the food turned out alright. It wasn't anything great but it was alright. 
I had a terrible incident with another guest and unfortunately won't return back. He left his drink at the ordering counter and it so happened to be in front of me - of course I didn't know that until he reached for it without so much of an excuse me or anything and almost groped me. I had to hit his arm away and step back. I was so shocked and angry and wanted to hurry up and leave. It's not the Cafeterias fault but it's sad that it happened there.","alt=""2.0 star rating""",2,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Jon A.,"West University, Houston, TX",0,12,,,11/18/17,"Went here a couple times before the fire, and just attended the second 'soft opening' before it officially opened... I'm glad George and company back!
Keep in mind, this is a cafeteria, so if you're a foodie looking for some sort of creative, fusion cuisine - this isn't your place. 
But if you're looking for good, traditional comfort food, you're in the right spot. It's worth mentioning that the clientele definitely skews 'older', so the seasoning is very conservative (one of my friends said a few of her entrees were a little bland). Not an issue I've noticed with anything I've had.
Overall, this is a solid choice, and the only cafeteria I'd go to in the area. Plus, the owner George is a genuinely nice guy, with a great American success story to share.","alt=""4.0 star rating""",4,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Roland M.,"Houston, TX",38,26,28,,11/15/17,Congratulations on reopening again since the fire and thank you for the lunch. Everything was delicious and the staff was awesome. You have a customer for life.,"alt=""5.0 star rating""",5,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Steve K.,"Houston, TX",0,11,2,,10/29/17,"It's 8:15PM on October 29, 2017.
Yelp says that Cleburne is ""Open Now"".
Good thing I checked by calling 'cause the phone message said they are still rebuilding from the fire that destroyed their wonderful cafeteria more than a year ago.
The message said they will be re-opening soon. Can't wait!","alt=""5.0 star rating""",5,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Olga B.,"Houston, TX",21,25,11,,11/21/17,"We waited 1 hour on Tuesday night, super packed, totally worthy, we are both happy we stopped by for dinner. Cute detail: they have fresh tiny roses bouquets on the tables:)","alt=""5.0 star rating""",5,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Kyle S.,"Cypress, TX",0,2,,,11/20/17,"Opening week Sunday was my first time at the restaurant and my wife had not been since she was a child. We are recently back in Houston after many years away and had been looking forward to this for months. After an hour and a half wait in line that went well outside the front door, we had ample opportunity to plan what we'd put on our trays. We were not disappointed. The turkey was the best I've ever had and we filled our trays with vegetables and desserts with the squash and spinach casseroles exceptional and the brown gravy merely unbelievable. Portions were generous and the service was exceptional. Artwork and tributes were uplifting. Next time, and there'll be many more, I'll try the chicken. Our best to the family for keeping alive this tradition of excellence.","alt=""5.0 star rating""",5,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
https://www.yelp.com/biz/cleburne-cafeteria-houston-2?start=0,Joseph B.,"Midlothian, VA",36,44,11,,11/12/17,Came for soft opening. Service was quite good considering they had yet had the official opening. Food was in good portion size and on the whole tasted great. The desserts were huge and there was quite a variety. They have children's plates to keep the food waste down. I'll definitely be coming back.,"alt=""5.0 star rating""",5,cleburne-cafeteria-houston-2,cleburne-cafeteria-houston
