URL,Restaurant Extracted,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Jordan Z.,"San Antonio, TX",217,45,2,Elite ’17,7/23/17,"A group of 6 of us came to eat dinner and drink the famous blue margaritas on a Saturday night. We had hoped to sit in Club No Minor, and although there was plenty of space open, the hostess insisted she had too many reservations to seat us there. 
We were quick to order alcohol and waters and all of the service staff was extremely attentive. I never had an empty chip basket or salsa bowl in front of me. 
The corn sauce on the el patio enchiladas was some of the best I've ever had and the chicken flautas were hearty and delicious. We also ordered beef and chicken fajitas, which came with a generous serving of onions, peppers and tortillas. 
Our server closed our tab after we ordered food, but didn't mind throwing away the printed receipt to let us order more margs. Will definitely be back.","alt=""4.0 star rating""",4,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Zain B.,"San Antonio, TX",186,97,20,,7/4/17,"The best service, food quality and environment I have ever experienced at a Mexican restaurant. This establishment is truly the holy trinity of dining out.
We came here after a recommendation from a friend and we will never look back! The patio enchiladas are my favorite dish - the roasted corn sauce that tops off this staple is out of this world.
I almost didn't want to review El Patio just to keep it a secret from the masses, but alas, I can't keep it any longer. Best of the best in so many ways.
PS - Club No Minor is the SPOT. You'll know what this means after your visit. Oh, and you're welcome.","alt=""5.0 star rating""",5,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Joe G.,"Spring, TX",0,20,12,,11/23/17,The general manager is the rudest person. Suggest I dine elsewhere because she doesn't like the complaint I made to her about filth. She should not be managing a restaurant. She must had been having a bad day. Must be that time of the month anyways for her.,"alt=""1.0 star rating""",1,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Holly H.,"Houston, TX",0,7,50,,11/5/17,Free chips and queso when you sit in the bar area. One of the blue margaritas is all you need to get a good buzz going.,"alt=""5.0 star rating""",5,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Sabrina F.,"Houston, TX",278,290,188,Elite ’17,5/12/17,"I finally tried El Patio, and I think the reviews jaded my expectations. It wasn't bad, but the reviews made me feel like it would be much better.
I ordered the lunch menu flautas de pollo. Definitely delicious and the perfect portion, plus I appreciated the fluffy rice. My biggest disappointment, though, was the house margarita. I read the most reviews on the drinks, and I was really unimpressed. It wasn't well blended and lacked a lot of flavor. 
I hear the blue margarita is the real treat. Maybe I should've gotten that. I'll definitely give these guys another try, but it's not my new favorite.","alt=""3.0 star rating""",3,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Sara C.,"Houston, TX",159,178,128,Elite ’17,4/25/17,"Average food with strong drinks. We went here for happy hour one day after it was recommended to us by friends.
Drinks:
I got the sangria and my boyfriend had a regular frozen margarita. The sangria was delicious and some of the best I have ever had. The margarita was okay, but almost tasted like frozen tequila. It needed something to make it a little sweeter, which is where the blue margarita comes in. It is one of the regular margs with blue curacao. It was pretty good and I would get it again.
Food:
We started with the ceviche which was good, but noting special. The chips and salsa were just ok. I had the carne guisada and my boyfriend had the fajita beef burrito. Both were alright. I wouldn't go out of my way to eat here again, but didn't hate it.
Overall, I would definitely come here again for the drinks, not the food.","alt=""3.0 star rating""",3,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Kathleen R.,"Tomball, TX",14,113,295,Elite ’17,8/21/17,Pretty good food. Decent lunch specials. Tacos are huge (3). Parking can be a bear as sometimes you are forced to valet. Salsa has a nice kick and the chips aren't greasy or salty. Been a few times. Their booths need an upgrade as you may sink in. Overall pleasant experiences. I hear Happy Hour is solid!,"alt=""4.0 star rating""",4,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Priscilla D.,"Humble, TX",27,73,23,,10/13/17,This place is getting a 2 only because the mariachis were entertaining and very good. The food was horrible and the staff was very rude. Even after being seating we waited 15 minutes before I had to get up and ask the server to take our order. The drinks were not very good either for $15 a margarita. Really wanted to like this place.,"alt=""2.0 star rating""",2,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Tammie L.,"Houston, TX",1,9,1,,10/10/17,Really good Tex-mex! Better than Molina's. It's been years since I've been here. Went for lunch but def need to come back for margarita's!,"alt=""3.0 star rating""",3,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Brian F.,"Houston, TX",0,3,4,,10/13/17,"This place is HORRIBLE! The waitstaff is rude and the manager is even worse. We sat in the bar area and our waitress said our table had met our ""limit"" which was completely false. The manager proceeded to argue and insist we were wrong. Will not be going back!","alt=""1.0 star rating""",1,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Jen S.,"Houston, TX",51,53,404,,11/5/16,"Really enjoyed everything about this divey Tex Mex place. First tip - when you enter go to the right and enter the Club No Minors bar & lounge room. This allows for a more intimate, ambience filled experience (for 21+ only). 
We went on Saturday during happy hour and loved everything we tried. The blue margarita is goooood, and if you like a little change, try the purple which is the blue with some raspberry puree added. That was also good. Both on happy hour menu. 
The chips came with both salsa and queso when we sat down. 
The chicken quesadilla - yum! Gooey, grilled, loaded with chicken and cheese, heaven! 4 pieces on happy hour. 
Our server was the bar tender assisted by the bus boy. Both attentive, friendly, professional and did an excellent job of watching the drinks but not interrupting conversation. 
Already planning my return!","alt=""5.0 star rating""",5,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Mike T.,"Houston, TX",0,76,20,,8/28/17,"I've passed this place a hundred times and I finally decided to give it a try. Now I can say been there, done that, won't do it again. The service was great and the waiters were all very friendly, the food just wasn't good! I ordered the carne guisada and the meat was very tender but lacked any hint of flavor. The rice wasn't good, and the salsa tasted like pace picante sauce! Chips are good and fresh and the queso wasn't bad.","alt=""2.0 star rating""",2,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Mia D.,"Houston, TX",4,20,34,,5/14/17,Happened to stop on Cinco de Mayo and so glad we did! The Blue Margarita is the BOMB! It was a party...and my hubby and I partook!! I had the Shrimp & Crab Enchiladas...hubby had Chicken Enchiladas with Sour Cream Sauce...YUMM!! Get you some...,"alt=""4.0 star rating""",4,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Klash H.,"Houston, TX",25,96,81,,8/29/17,El patio is open today. Make sure you over tip. With all the rain it's great that they are open.,"alt=""5.0 star rating""",5,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
https://www.yelp.com/biz/el-patio-restaurant-and-club-houston-2?start=0,el-patio-restaurant-and-club-houston-2,Andrew L.,"Houston, TX",1,25,3,,8/8/17,"Meh.. service was iffy, food was good. Wifey and I tried a regular margarita, I'm not sure what is up with it but it did not taste like a margarita. The kids frozen drink tasted better. Fajita Flats is a few miles west on Fondren and has never disappointed us, so we will probably stick there when we're craving TexMex near us.","alt=""3.0 star rating""",3,el-patio-restaurant-and-club-houston-2,el-patio-restaurant-and-cl
