URL,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/mytiburger-houston?start=0,Jocelyn C.,"Los Angeles, CA",690,963,370,Elite ’17,7/27/17,"If you're a burger fan, there's no reason why you shouldn't stop by and support this little local business! Super casual with slightly grimy, old school drive-in vibes. The type of food that is perfect for when you want to sit at home alone in pajamas with a Netflix series on. 
And seriously... who else has sweet potato fries??? I can only think of a few places, and this place has great ones. 
Right now you can get cash back on Yelp even, so I'm not sure why you wouldn't step out on a limb and try these tasty, filling burgers. I had one with cheddar and mushrooms on it, and somehow I ended up eating the whole thing even though I was full already after a few bites.
Great addition to the burger circuit, especially for days when you just need to be alone with your snacks.","alt=""5.0 star rating""",5,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Alan S.,"Houston, TX",562,1393,230,Elite ’17,7/13/17,"This place is solid, and I totally agree with Belly G. that the customer service pushes this place from that 3 to a 4. I oped for a bacon cheese burger, onion rings and pineapple shake. This was more food then I needed, but I wanted to try all the things. The burger and the onion rings were both solid 3's. Taste good, good value, but not gonna wow you. The shake was pretty unique, very few places branch beyond the chocolate, vanilla, strawberry options, so I quite enjoyed the pineapple. If you live in the area, you should give it a try. It's a Houston institution as far as how long it's been around, so I'm glad to finally check the place off my list. However, I doubt I'll be running back anytime soon.","alt=""4.0 star rating""",4,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Ha C.,"Houston, TX",187,376,675,Elite ’17,10/1/16,"Looks old & run down. Probably the cleanest burger joint I've been to. 
Homemade onion rings are ok, kinda bland.
Jalapeño cream cheese poppers. It's ok, jalapeño skin was quite tough. Had to chew entire jalapeño.
Tots & fries nothing special
Jr burger was perfect size and filling.
Steak burger is like a chicken fried steak. My friend enjoyed it. Batter didn't look too thick","alt=""4.0 star rating""",4,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Byanca H.,"Houston, TX",0,9,3,,10/9/17,"There's a reason this place has been around for 50 years! From the seasoned grilled burgers to the shakes and even to the ""hospitality"". It's authentic and a classic! I recommend it if you're in the area!","alt=""4.0 star rating""",4,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Larry F.,"Northside, Houston, TX",0,2,,,8/5/17,I was recommended here from an employee at Baskin Robbins named Jacob after he overheard me and my son arguing over what we want. He said mytiburger is the best place around and even backed it up with a news paper article saying it was voted number 1! He said the owner is a local guy and shared a conversation about local sports teams since he seen my son had on his YMCA team shirt. When we arrived at mytiburger we were greeted by the cashier and were a little lost on how to order. After getting a double and a mytiburger we went to pay and the only thing sucked was the cashier. She never gave eye contact and never shared a smile. Kinda felt like I was annoying. It was an older heavyset lady. The food was very good but the fries were mediocre. Will come back.,"alt=""5.0 star rating""",5,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,David V.,"Fort Worth, TX",0,8,1,,5/16/17,"Solid hole-in-the wall burger joint. They have 5 tables inside, 1 outside, and a drive-through. Old school burgers like what you'd get prior to the proliferation of chain joints. I had a cheeseburger, and they offer two options for real cheese, so I went with Cheddar. Several optional add-ons (for a price), and I went with avocado, which was actually guacamole, but I was down with that. Fries are foodservice fries, but were decent. They do offer fresh cut potatoes for a higher price.
Service was quick. The food was good, and they even have bottled jalapeno ketchup. It's hard to argue with peppers being added to very many things. Sure, Blue Bell ice cream would not be improved that way, but they weren't selling Blue Bell anyway. Reasonably priced, my cheeseburger with avocado and a small fry order (which is decent sized) came to just $7.65 plus a tip for the folks who made it. They also take credit and debit cards, which is nice. I would definitely go back here again.","alt=""4.0 star rating""",4,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Cindy P.,"Houston, TX",17,6,2,,9/1/17,Thank you Mytiburger for being open this week when no one else was. Great burgers and also have really good breakfast tacos. Everything is made fresh.,"alt=""5.0 star rating""",5,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Linda K.,"Houston, TX",2,25,,,7/29/17,"I know this is a venerable Heights area institution and a great community supporter, but my husband and I found the food to be on average...average. The friendly service everyone is raving about wasn't there tonight, that was also average...maybe Saturday evenings are not the best time to go. The smell of grease was so pervasive on entering, that it was unappetizing. Maybe a better exhaust fan is in order.
Mytiburger with cheddar and loaded: good; fairly priced
Regular fries: too thick and soft, even tho' I asked for crispy; not worth the price
Service was slow, but understandable since it is all made to order. However, they should have gone ahead and given us our drinks right away and let me pay instead of filling all orders ahead of us fully before they even gave us our drinks. Then I still had to wait to pay when we actually got our food. The people working the counter didn't even greet us when we came in or as we were figuring out our order. I think it was fairly obvious we had never been there before. There was only one other couple there at the time.
They did give refills on our sodas and were very kind to a homeless man who came in for some ice water. Keep up the good work that you do for your community and congrats on 50 years of business. I will go through the drive through if in the area again for a burger and try something besides the fries. You might reconsider that recipe given the number of negative comments on those.","alt=""3.0 star rating""",3,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Tiffany S.,"Houston, TX",486,16,7,,4/21/17,Great fresh food / fast ... nice and friendly people especially Barry . This place is right next to my job and I send all my clients here for lunch .. I always get a bacon bacon burger and fries !! They always get me right . Thank you Miti burger,"alt=""5.0 star rating""",5,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Lindsey D.,"Houston, TX",174,481,595,Elite ’17,8/1/15,"Old school inside. Black and white checkered tile, small interior with strategically placed booths and bathrooms- just as it has always been. 
Pros: 
-Friendly staff 
-Delicious food (junior burger, vanilla malt, fried pies are a few favorites) 
-Jalapeño ketchup at each table 
-Order at front, sit, go get food when called 
-Large parking lot
-Drive through available 
-Indoor and outdoor seating available 
-Love their sodas and ice and to go cups and refills :) 
Cons: 
-Tight quarters inside 
-Drive through can be a bit slow","alt=""4.0 star rating""",4,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,John L.,"Houston, TX",245,171,1204,Elite ’17,12/28/14,"Old fashioned burger spot in Oak Forest. Don't expect a fancy burger here like some of the new burger places. Come to Mtyiburger for a traditional and fresh burger. 
Tater tots are really good, but a bit greasy. They have fresh cut fries, but I prefer thinner and crispier fries. Skip the fast food burger and call in your Mtyiburger for pickup.","alt=""4.0 star rating""",4,mytiburger-houston,mytiburger-houston
https://www.yelp.com/biz/mytiburger-houston?start=0,Joseph M.,"Tomball, TX",0,21,8,,4/26/17,Nice dive restaurant. Friendly staff. Great burgers! Made anyway you want them. Definitely recommend.,"alt=""5.0 star rating""",5,mytiburger-houston,mytiburger-houston
