URL,Restaurant Extracted,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Olivia S.,"Houston, TX",8,50,3,Elite ’17,9/12/17,"This place is so close to me, I couldn't avoid trying it. I want to state that this is a review of only breakfast. I have only been here early in the morning and ordered only from the breakfast menu. If you're looking for a diner style breakfast, this is the spot for you. It's cheap, fast, made to order, and CHEAP! I swear, the first time I got my bill I double checked to make sure they had included everything. I'm a savory breakfast girl, but my friends ordered waffles and other sweet things and everyone at our table was more than satisfied. The portions were great, service is about what you'd expect from a diner, and we were in and out of there in no time. 
If you're looking for a fancy brunch with pitchers of mimosas, try Downhouse down the street. If you're looking for a delicious good old fashioned diner breakfast, come here.","alt=""5.0 star rating""",5,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Lawrence C.,"Normal, IL",35,170,217,Elite ’17,11/8/17,"I usually write lengthy reviews. I'm going to keep this one short. The chicken and waffles were awesome. The chicken strips were huge. Almost too much. It was really good. I enjoyed the antique decor. It set it apart from other places. 
They may have gotten a higher rating if we weren't left twiddling our thumbs waiting for the server to bring the check. You shouldn't have to hunt them down to leave. The parking was atrocious too.","alt=""3.0 star rating""",3,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,A c.,"Houston, TX",87,34,9,,7/23/17,"This is our go-to place for breakfast...especially the MIGAS! Their Migas are hands down the best i have ever eaten. The line cook takes fresh tortillas and cuts them up into chip triangles and sauté's them. Eggs are added and it is my favorite dish.
Ok, the building is from the 1920's so nostalgia reeks in a good way. It's not fancy, but super clean and a step back into time. The kids love a homemade old fashioned milk shake served up at the sofa fountain (and I do too)!","alt=""5.0 star rating""",5,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Ian P.,"Schaumburg, IL",0,4,,,11/26/17,Excellent breakfast and service. Cool vintage store atmosphere. My girlfriend said it's like a dive Cracker Barrel.,"alt=""5.0 star rating""",5,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Rena G.,"Houston, TX",201,166,266,Elite ’17,4/3/17,"This place is so stinkin cute! It definitely has that small town diner feel with some good food to boot. Seating is plentiful with their counter seats, booths and tables and you can tell they have a lot of regulars. 
Since I'm a lover of a good breakfast, I opted for their ""big breakfast"" ( the name could be wrong lol) but it's a plate of eggs, your choice of ham or bacon, hash browns and 2 pancakes of your liking. I opted for 1 blueberry and 1 banana nut. The bf had their ""chicken and waffles.""I have to say that I was disappointed that the ""chicken"" wasn't actually pieces of fried chicken. They turned out to be friend chicken tenders but the bf loved it, so who am I to complain? When our food came to the table, everything was hot and fresh. Now, the highlight of my meal were my tasty pancakes!!! You can actually taste the fresh blueberry in the blueberry pancake and you get little bits of pecan in the banana nut pancake, yaaass!!! 
During our visit, we didn't get to visit their store part of the establishment but I know we'll be back to peruse the shelves. Overall our visit was a major win! The service was speedy and friendly and the food was good, what more can you ask? If you're in the area on a lazy Saturday, give this place a try, just be mindful of their early closing hours.","alt=""4.0 star rating""",4,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Meeee T.,"Houston, TX",2,50,14,,9/27/17,"I stepped inside today to see what this place was all about. The minute I walked in, I had walked about 50 feet over to the gift shop I turned around and immediately left due to the overpowering smell of URINE!!!","alt=""1.0 star rating""",1,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Ashlee R.,"Houston, TX",149,4,,,7/16/17,"One star goes to the waffle (& the waffle only) and the second star to the bacon. 
I was looking to discover a new breakfast spot without the $16-20 price of your typical Heights breakfast plate. Selected the Yelp filters and chose this little spot. Upon walking in, I thought, oh yes - Country living folk, comfort breakfast items and the cutesy diner scene - this is gonna be great! Wrongo. I ordered the chicken and waffles with a side of eggs and bacon and a cup of coffee. First of all, the coffee was awful. Second, the chicken was so bland, I couldn't even tell it was chicken. Maybe it wasn't. The waffle, itself, was all the things you'd hope for in a waffle. Soft enough but still has a little bit of a crunch. The eggs and bacon were normal and tasty, thankfully. The service was very friendly, a little unorganized but they were nice. I don't believe I'll be back on my own account. If you're into bland food, this is the place to go.","alt=""2.0 star rating""",2,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Phillip B.,"Houston, TX",44,97,1421,Elite ’17,5/22/16,"It is what it is. Open seating it has a dining counter, tables in the center with a row of booths. They also sell antique items. It's a page out of a Quentin Tarantino movie. The place has character. Flooded with a steady stream of locals and passerbys. 
Our first time here. She had the Migas Mexicana. I had a vanilla shake, gourmet omelette containing sausage, egg, bacon, garden veggies minus the bell pepper. Pancake too. All was good food. Nothing mind blowing just straight forward cooking. A nice spot to pick up a good breakfast. Check out my pics.","alt=""3.0 star rating""",3,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Joseph S.,"Houston, TX",0,83,58,,7/31/17,I've been here before but not since yelping. A quaint diner/gift shop . I had a baked potato with chives only but other people enjoyed the chicken fried chicken . When I went it was packed but the air conditioner wasn't working properly. The menu has plenty of homemade favorites there's the whole nostalgic factor for people in the area which I love. It is totally worth a try.,"alt=""4.0 star rating""",4,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Texas W.,"Houston, TX",1,18,,,5/30/17,"My daughter has been begging us to go as a family, so we finally did. What a big disappointment. The food was okay, but nothing special. We had brunch...my burger was okay, my wife's hashbrowns were undercooked and the real deal-breaker...they had either watered-down ketchup, or they put cheap ketchup in a Hunt's ketchup bottle. It certainly wasn't plain Hunt's ketchup. It poured out like colored water. It didn't taste like Hunt's, either. I couldn't even eat my fries with this nasty stuff. All things considered, it was worthy of 2 stars because the waiter was nice and friendly. However, I definitely won't be going back.
If you like to shop for knick-knacks after you eat (similar to Cracker Barrel), they do have a gift shop. I'm not into that sort of thing, so I couldn't tell you if they had a nice selection of stuff or not, but my wife and kids enjoyed looking around.","alt=""2.0 star rating""",2,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Jessica R.,"Houston, TX",8,19,35,,1/9/17,"The cafe has a classic old time feel. You walk in feeling like you're in a small friendly town. The breakfast was excellent and very reasonably priced. It does take a little time to get your food so if you're in a hurry to run in and out this is not the place to do that. 
There is also a cute antique and gift shop within the cafe divided by a wall. Lots of neat finds in that place too. Definitely like taking a step back in time when things were simpler and calm. 
Definitely felt cozy and will be going again soon.","alt=""4.0 star rating""",4,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Kay C.,"Houston, TX",1,16,7,,12/7/16,"Houstonians, use it or lose it......this is one of our last authentic old ""drug store soda fountains"" (since 1923)!!! 
This is a must stop when visiting Houston and the Heights! One of the city's last authentic old ""Soda Fountains"" with delish vanilla or chocolate sodas or malts, decent coffee, bargain old fashioned breakfast with chicken fried steak & gravy, or TexMex brunch dishes. My favorite is an old fashioned Grilled Cheese sandwich, fried onion rings (served with extra thick batter!) along with a chocolate soda. If you have never tried an old fashioned chocolate soda, this is your unique opportunity. It is vanilla ice cream, soda water for a little fizz, chocolate syrup, with whipped cream and a cherry on top. What makes it even more special is they serve it in an authentic tall antique soda glass, making a special photo opp, sitting with your chocolate soda on the swivel red seats at the counter, just like the 1940s or 1950s. (Never get it to go in a plastic cup!!). 
 You can also enjoy the antique shop in the other part of the Grill afterwards, adding to the old timey feel. Bring your baby boomer relatives or friends here; they'll love it! I remember classmates coming over here after school from Hamilton Jr High in the1960s!! That antique school is worth a look also, right behind the Grill. After brunch, visit Jubilee"", my fave unique boutique around the corner on 18th street, with some great resale shops nearby, so make a day of it! 
 This place is not pristine gleaming Disney version of a 1950s diner: it is the real deal. Don't expect a spotless grill, McDonalds fast service, or order soup or salad here. Pick what's recommended and enjoy one of the last tastes of authentic nostalgia while its here, usually only open for breakfast and lunch. Don't put it off till ""another day"" and let this one be ""Gone with the Wind"" like most of Houston's history.","alt=""5.0 star rating""",5,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Vinny H.,"San Antonio, TX",185,465,127,Elite ’17,11/30/16,"Stopped in for breakfast, and it was excellent!! Eggs cooked just right, hash browns were delicious, and the biscuits and gravy were really good. The atmosphere was really cool, lots if autographed pictures on the walls by the booths, and lots of cool stuff to look at. The staff was super friendly and attentive.","alt=""5.0 star rating""",5,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Cindy G.,"Waco, TX",3,68,48,,1/27/17,"This was our go-to place when I was a kid after shopping at Kaplan's Ben-Hur across the street. But Kaplan's gone, condos built in its place and Yale Street pharmacy burgers are now TERRIBLE. Went there on 1/25/17 and ordered the bacon burger. Their burgers used to be raw hamburger meat cooked on a flat grill right in front of you, but no more. I was served some precooked mystery meat that I think was warmed up in a microwave in a secluded cooking area on a bun with a couple of strips of bacon. And the bacon was SPOILED!!!!!! Was SO gross. I pulled the bacon off, ate a couple of bites of what was left, paid and left. I'll never go back.
It hasn't been a pharmacy in decades and that part of the store was converted into a gift shop. It used to be pretty nice but now it's been taken over by ""antiques"" and ""collectibles"" that's more like used stuff found in thrift stores or Goodwill. Just awful. A fond childhood memory gone and ruined. As I said, I'll never go back.","alt=""1.0 star rating""",1,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,James R.,"Houston, TX",857,274,907,,11/1/16,"Well I did they had been on my list of places to go for breakfast and at least I can check that off the bucket list as for the food I had this special two eggs bacon and two pancakes ordered the eggs over easy that was a mistake because I mean they were really easy should've ordered over medium I guess
As for the service it was friendly however it took about five minutes to big knowledge that we were there.
And another 15 to get the food in the place was not that busy I mean there were only approximately 10 filled tables if that.
As for the price not bad can't complain about that it is in the area who knows maybe back just won't be on the to do list anymore.
My suggestion don't order the today's special it's just cheap food not a very good special.
Kevin who I went with at a breakfast taco and he said it was very good and he lives across the street from them and goes there often.","alt=""3.0 star rating""",3,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Michael H.,"Houston, TX",543,21,18,,2/8/17,"This place is like stepping back into time! I was so excited to run across it. It's a soda fountain like you used to find all over the place when I was a kid, and now, they're so scarce. They serve all the soda fountain favorites from patty melts, tuna melts, burgers, pancakes, as well as banana splits, sundaes, shakes and malts, all made with hand dipped Blue Bell ice cream. The food was fantastic and the service was great. Add the nostalgic atmosphere and the little antique shop inside and this place is a hit. I didn't want to leave! Treat yourself to a wonderful experience and check out Yale Street Grill! I'll definitely be back!","alt=""5.0 star rating""",5,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
https://www.yelp.com/biz/yale-street-grill-and-gifts-houston?start=0,yale-street-grill-and-gifts-houston,Santiago Z.,"Houston, TX",45,1,,,5/21/17,This is the quintessential old American diner. Service is moderate to fast. My server was very helpful. The food brings you back to going out for breakfast with my family after Church. It is a classic that I will most definitely go back to. Portions are good considering what you are paying for and where in the heights you are. Not too boujee and the decor or the antiques gives it a nice flavor.,"alt=""4.0 star rating""",4,yale-street-grill-and-gifts-houston,yale-street-grill-and-gift
